Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
130972,293,942,487,0,1
131072,285,945,487,0,1
131138,281,947,487,0,1
131204,274,948,487,0,1
131270,292,948,487,0,1
131337,284,952,487,0,1
131435,292,954,487,0,1
131501,288,956,487,0,1
131567,289,957,487,0,1
131632,285,958,487,0,1
131698,282,958,487,0,1
131797,281,958,487,0,1
131863,281,958,487,0,1
131929,283,958,487,0,1
131994,284,958,487,0,1
132060,284,958,487,0,1
132093,284,958,487,0,1
132158,285,958,487,0,1
132224,283,958,487,0,1
132290,283,958,487,0,1
132356,283,958,487,0,1
132454,284,958,487,0,1
132520,286,958,487,0,1
132585,284,958,487,0,1
132651,285,958,487,0,1
132717,287,958,487,0,1
132816,285,958,487,0,1
132882,284,958,487,0,1
132948,281,958,487,0,1
133014,280,958,487,0,1
133080,278,958,487,0,1
133179,279,958,487,0,1
133245,282,958,487,0,1
133311,283,958,487,0,1
133385,286,958,487,0,1
133458,287,958,487,0,1
133524,286,958,487,0,1
133590,286,959,487,0,1
133689,280,961,487,0,1
133755,290,962,487,0,1
133821,287,963,487,0,1
133886,278,964,487,0,1
133952,281,965,487,0,1
134050,282,965,487,0,1
134116,284,965,487,0,1
134182,288,965,487,0,1
134248,285,965,487,0,1
134314,284,965,487,0,1
134412,285,965,487,0,1
134479,278,965,487,0,1
134545,280,968,487,0,1
134610,285,969,487,0,1
134676,285,971,487,0,1
134775,292,973,487,0,1
134842,291,975,487,0,1
134908,291,977,487,0,1
134974,290,979,487,0,1
135040,273,981,487,0,1
135139,272,982,487,0,1
135205,282,982,487,0,1
135270,282,982,487,0,1
135337,289,982,487,0,1
135403,288,982,487,0,1
135502,288,983,487,0,1
135568,281,987,487,0,1
135634,282,989,487,0,1
135699,281,991,487,0,1
135765,28,994,487,0,1
135864,286,996,487,0,1
135931,287,997,487,0,1
135997,280,997,487,0,1
136062,289,997,487,0,1
136129,287,998,487,0,1
136227,288,999,487,0,1
136293,290,1001,487,0,1
136359,285,1002,487,0,1
136425,283,1004,487,0,1
136524,282,1006,487,0,1
136590,281,1008,487,0,1
136656,285,1009,487,0,1
136721,295,1010,487,0,1
136820,289,1010,487,0,1
136886,278,1010,487,0,1
136952,289,1012,487,0,1
137019,285,1013,487,0,1
137086,283,1017,487,0,1
137185,288,1018,487,0,1
137251,282,1019,487,0,1
137317,284,1021,487,0,1
137384,275,1022,487,0,1
137482,274,1022,487,0,1
137549,293,1022,487,0,1
137614,287,1022,487,0,1
137680,286,1023,487,0,1
137779,288,1025,487,0,1
137846,287,1026,487,0,1
137911,287,1027,487,0,1
137977,282,1029,487,0,1
138075,282,288,487,0,1
138141,282,1032,487,0,1
138207,284,1033,487,0,1
138273,284,1036,487,0,1
138339,273,1038,487,0,1
138438,291,1038,487,0,1
138503,289,1038,487,0,1
138569,284,1038,487,0,1
138635,284,1040,487,0,1
138733,287,1041,487,0,1
138799,286,1042,487,0,1
138865,285,1042,487,0,1
138931,285,1043,487,0,1
139031,282,1045,487,0,1
139096,283,1046,487,0,1
139162,281,1047,487,0,1
139228,285,1048,487,0,1
139330,278,1050,487,0,1
139400,284,1052,487,0,1
139479,285,1053,487,0,1
139545,282,1054,487,0,1
139611,285,1054,487,0,1
139676,284,1054,487,0,1
139742,285,1055,487,0,1
139842,283,1056,487,0,1
139908,283,1057,487,0,1
139974,286,1057,487,0,1
140040,283,1058,487,0,1
140105,28,1058,487,0,1
140204,283,1058,487,0,1
140270,285,1058,487,0,1
140336,284,1058,487,0,1
140402,283,1058,487,0,1
140501,284,1058,487,0,1
140567,285,1058,487,0,1
140634,284,1058,487,0,1
140700,284,1058,487,0,1
140766,284,1058,487,0,1
140799,284,1058,487,0,1
140866,283,1058,487,0,1
140932,284,1058,487,0,1
140998,285,1058,487,0,1
141065,286,1058,487,0,1
141164,289,1058,487,0,1
141230,288,1058,487,0,1
141296,286,1058,487,0,1
141363,282,1058,487,0,1
141461,282,1058,487,0,1
141527,281,1058,487,0,1
141593,283,1058,487,0,1
141659,283,1058,487,0,1
141758,283,1058,487,0,1
141824,283,1058,487,0,1
141890,280,1058,487,0,1
141956,280,1058,487,0,1
142023,283,1058,487,0,1
142122,286,1058,487,0,1
142189,287,1058,487,0,1
142255,287,1058,487,0,1
142321,286,1058,487,0,1
142421,285,1058,487,0,1
142487,286,1058,487,0,1
142553,287,1058,487,0,1
142618,290,1058,487,0,1
142684,289,1058,487,0,1
142783,285,1058,487,0,1
142849,285,1058,487,0,1
142915,287,1058,487,0,1
142981,287,1058,487,0,1
143080,287,1058,487,0,1
143146,288,1058,487,0,1
143212,289,1058,487,0,1
143277,290,1058,487,0,1
143377,290,1058,487,0,1
143442,288,1058,487,0,1
143508,285,1058,487,0,1
143574,283,1058,487,0,1
143640,283,1058,487,0,1
143673,283,1058,487,0,0
143739,284,1058,487,0,1
143805,284,1058,487,0,1
